,subname,runs,nii_exists,rms_exists,rms_mean,rms_valid,rms_above_02,rms_above_02_valid
88,HCD2996590_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.097201901,FALSE,0.020964361,FALSE
89,HCD2996590_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.101917722,FALSE,0.083857442,FALSE
90,HCD2996590_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.10651242,FALSE,0.035639413,FALSE
91,HCD2996590_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.097239323,FALSE,0.052410901,FALSE
92,HCD2046842_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.055678255,FALSE,0,FALSE
93,HCD2046842_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.038339121,FALSE,0,FALSE
94,HCD2046842_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.051247924,FALSE,0,FALSE
95,HCD2046842_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.035649215,FALSE,0,FALSE
96,HCD2757370_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.060804354,FALSE,0.002096436,FALSE
97,HCD2757370_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.037831535,FALSE,0,FALSE
98,HCD2757370_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.075154082,FALSE,0.012578616,FALSE
99,HCD2757370_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.077119453,FALSE,0.025157233,FALSE
100,HCD0232223_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.090539001,FALSE,0.033542977,FALSE
101,HCD0232223_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.070576917,FALSE,0.039832285,FALSE
102,HCD0232223_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.061891938,FALSE,0.020964361,FALSE
103,HCD0232223_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.04461436,FALSE,0.006289308,FALSE
104,HCD0997380_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.124628262,FALSE,0.117400419,FALSE
105,HCD0997380_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.097697256,FALSE,0.077568134,FALSE
106,HCD0997380_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.095525411,FALSE,0.044025157,FALSE
107,HCD0997380_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.191085855,FALSE,0.199161426,FALSE
108,HCD2449763_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.089367799,FALSE,0.046121593,FALSE
109,HCD2449763_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.072682051,FALSE,0.014675052,FALSE
110,HCD2449763_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.083484803,FALSE,0.008385744,FALSE
111,HCD2449763_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.064402579,FALSE,0.004192872,FALSE
112,HCD0951861_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.235747754,TRUE,0.605870021,TRUE
113,HCD0951861_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.169941845,FALSE,0.442348008,TRUE
114,HCD0951861_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.205129577,TRUE,0.540880503,TRUE
115,HCD0951861_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.180795108,FALSE,0.477987421,TRUE
116,HCD1759571_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.089244789,FALSE,0.01048218,FALSE
117,HCD1759571_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.083864105,FALSE,0.031446541,FALSE
118,HCD1759571_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.127281459,FALSE,0.077568134,FALSE
119,HCD1759571_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.094381495,FALSE,0.054507338,FALSE
120,HCD1685164_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.103387815,FALSE,0.081761006,FALSE
121,HCD1685164_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.069426978,FALSE,0.016771488,FALSE
122,HCD1685164_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.085248184,FALSE,0.033542977,FALSE
123,HCD1685164_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.099812829,FALSE,0.054507338,FALSE
124,HCD0889579_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.090148035,FALSE,0.002096436,FALSE
125,HCD0889579_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.066952432,FALSE,0,FALSE
126,HCD0889579_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.086642674,FALSE,0.046121593,FALSE
127,HCD0889579_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.059867207,FALSE,0.027253669,FALSE
128,HCD0555146_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.085826367,FALSE,0.01048218,FALSE
