,subname,task,directions,RMS_mean,RMS_ab_25,RMS_ab_25_invalid
499,318637,REST1,LR,0.1419872436408124,0.17833333333333334,False
500,336841,REST1,LR,0.11265859856420678,0.0675,False
501,361941,REST1,LR,0.11377640342147634,0.105,False
502,371843,REST1,LR,0.20191330680103461,0.4083333333333333,True
503,377451,REST1,LR,0.11870697746502307,0.058333333333333334,False
504,380036,REST1,LR,0.14679487523079213,0.25583333333333336,True
505,381038,REST1,LR,0.1968480836229113,0.4058333333333333,True
506,386250,REST1,LR,0.11778188423942919,0.0975,False
507,387959,REST1,LR,0.17031686315358377,0.32666666666666666,True
508,393247,REST1,LR,0.18601854829292155,0.435,True
509,393550,REST1,LR,0.14941666081425264,0.21416666666666667,False
510,395251,REST1,LR,0.14191956202901035,0.14583333333333334,False
511,395756,REST1,LR,0.1019845789479502,0.03333333333333333,False
512,397154,REST1,LR,0.11603470254559402,0.0725,False
513,397760,REST1,LR,0.1672735084217777,0.31666666666666665,True
514,412528,REST1,LR,0.109607431949397,0.07,False
515,414229,REST1,LR,0.169987976201321,0.3408333333333333,True
516,432332,REST1,LR,0.1618118848361624,0.225,False
517,433839,REST1,LR,0.2680361277859399,0.6158333333333333,True
518,436845,REST1,LR,0.1390595351398467,0.12916666666666668,False
519,449753,REST1,LR,0.18153918168179034,0.29833333333333334,True
520,459453,REST1,LR,0.1375023207483524,0.1975,False
521,479762,REST1,LR,0.11411324141476205,0.08416666666666667,False
522,495255,REST1,LR,0.2260122648356613,0.5266666666666666,True
523,499566,REST1,LR,0.13291616504117448,0.18416666666666667,False
524,510326,REST1,LR,0.12598336613423114,0.1,False
525,517239,REST1,LR,0.19152536810841217,0.335,True
526,520228,REST1,LR,0.12299766963297278,0.1225,False
527,524135,REST1,LR,0.0956384655069042,0.035833333333333335,False
528,525541,REST1,LR,0.16459976544291924,0.33166666666666667,True
529,529549,REST1,LR,0.12777172963182176,0.10833333333333334,False
530,529953,REST1,LR,0.10555044289791476,0.050833333333333335,False
531,530635,REST1,LR,0.15225881703569213,0.2816666666666667,True
532,553344,REST1,LR,0.10855758802111971,0.049166666666666664,False
533,555651,REST1,LR,0.165047433884675,0.3125,True
534,559053,REST1,LR,0.18328272093983367,0.38916666666666666,True
535,561444,REST1,LR,0.18224520461579483,0.36833333333333335,True
536,567052,REST1,LR,0.10766657736669939,0.050833333333333335,False
537,567961,REST1,LR,0.12107242634334611,0.09166666666666666,False
538,568963,REST1,LR,0.08693804820683534,0.009166666666666667,False
539,571144,REST1,LR,0.09661834015331451,0.0225,False
540,573249,REST1,LR,0.11440666981408827,0.0775,False
541,580044,REST1,LR,0.19251463330259716,0.4325,True
542,580751,REST1,LR,0.21307764768883952,0.36916666666666664,True
543,581349,REST1,LR,0.15402290829213058,0.25666666666666665,True
544,587664,REST1,LR,0.1351733599793503,0.10583333333333333,False
545,597869,REST1,LR,0.13626230400307293,0.11833333333333333,False
546,598568,REST1,LR,0.16223761041295892,0.215,False
547,599065,REST1,LR,0.07805137445268592,0.0,False
548,599671,REST1,LR,0.17082006947410433,0.2025,False
549,604537,REST1,LR,0.18743004882085407,0.1875,False
550,611938,REST1,LR,0.1515636808732631,0.22083333333333333,False
551,616645,REST1,LR,0.13529836070965287,0.09416666666666666,False
552,618952,REST1,LR,0.15456063951499877,0.215,False
553,622236,REST1,LR,0.11923540902452179,0.0725,False
554,627549,REST1,LR,0.14873753994397043,0.22916666666666666,False
555,638049,REST1,LR,0.1477879316051883,0.2375,False
556,645450,REST1,LR,0.13023422574625795,0.14416666666666667,False
557,654350,REST1,LR,0.1294320054674375,0.10583333333333333,False
558,654754,REST1,LR,0.12503645846455366,0.09916666666666667,False
559,656253,REST1,LR,0.12246385261086971,0.10583333333333333,False
560,656657,REST1,LR,0.14933302098282517,0.19583333333333333,False
561,657659,REST1,LR,0.10549941671435545,0.05,False
562,660951,REST1,LR,0.12455171684912941,0.1025,False
563,663755,REST1,LR,0.11430166095423838,0.065,False
564,664757,REST1,LR,0.1618826702427148,0.24083333333333334,False
565,667056,REST1,LR,0.1842958116923264,0.32166666666666666,True
566,671855,REST1,LR,0.2602264992563037,0.6266666666666667,True
567,672756,REST1,LR,0.19694510053014874,0.45416666666666666,True
568,679568,REST1,LR,0.09085093604218149,0.008333333333333333,False
569,679770,REST1,LR,0.10716065508255532,0.058333333333333334,False
570,690152,REST1,LR,0.13215602374593477,0.18583333333333332,False
571,695768,REST1,LR,0.22778307624867353,0.5866666666666667,True
572,702133,REST1,LR,0.2675926388639035,0.44583333333333336,True
573,715950,REST1,LR,0.14074287142314654,0.20833333333333334,False
574,724446,REST1,LR,0.12948181304974124,0.1225,False
575,725751,REST1,LR,0.1410073256157568,0.13166666666666665,False
576,729557,REST1,LR,0.14366431784087036,0.1775,False
577,731140,REST1,LR,0.12370532965023277,0.09083333333333334,False
578,735148,REST1,LR,0.20185794379510155,0.4191666666666667,True
579,744553,REST1,LR,0.1511348804229326,0.20583333333333334,False
580,748258,REST1,LR,0.158464316240695,0.30333333333333334,True
581,749058,REST1,LR,0.08698182756341666,0.011666666666666667,False
582,753150,REST1,LR,0.088996971253631,0.014166666666666666,False
583,756055,REST1,LR,0.16089015375813828,0.24583333333333332,False
584,769064,REST1,LR,0.1338288296329526,0.14166666666666666,False
585,770352,REST1,LR,0.1622813119822426,0.14416666666666667,False
586,782561,REST1,LR,0.13482387754549757,0.17666666666666667,False
587,789373,REST1,LR,0.12673228679616536,0.1225,False
588,800941,REST1,LR,0.1419490591891842,0.18166666666666667,False
589,803240,REST1,LR,0.1360735362555702,0.1225,False
590,812746,REST1,LR,0.13870412175053815,0.10333333333333333,False
591,816653,REST1,LR,0.13131699921907353,0.1025,False
592,820745,REST1,LR,0.10467446456054036,0.04,False
593,825048,REST1,LR,0.1248154511439597,0.04416666666666667,False
594,833148,REST1,LR,0.08694140664121298,0.023333333333333334,False
595,835657,REST1,LR,0.13234326661017135,0.17,False
596,837560,REST1,LR,0.0929230531116724,0.015,False
597,849264,REST1,LR,0.1663305375361138,0.3516666666666667,True
598,849971,REST1,LR,0.11250052729897836,0.0575,False
599,865363,REST1,LR,0.18175652910375356,0.2975,True
600,872562,REST1,LR,0.1185924768122612,0.06666666666666667,False
601,877269,REST1,LR,0.13403012873221876,0.11583333333333333,False
602,889579,REST1,LR,0.21378697043285064,0.5016666666666667,True
603,894067,REST1,LR,0.16534930631168498,0.335,True
604,894774,REST1,LR,0.1739388634795786,0.3858333333333333,True
605,898176,REST1,LR,0.2485183764423838,0.5416666666666666,True
606,899885,REST1,LR,0.10322334357972927,0.04083333333333333,False
607,901442,REST1,LR,0.11743729705930975,0.06333333333333334,False
608,907656,REST1,LR,0.21268854533997672,0.445,True
609,912447,REST1,LR,0.13136512475070325,0.09666666666666666,False
610,922854,REST1,LR,0.2239527890853257,0.5875,True
611,923755,REST1,LR,0.2107637117491574,0.5141666666666667,True
612,930449,REST1,LR,0.15446279547803896,0.25916666666666666,True
613,952863,REST1,LR,0.15818073445760414,0.2808333333333333,True
